  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      37	 09:45:21	   0.005	   0.000	  408.37	  988.98	   14.80	  1941.8	    73.3	  -175.1	  -240.2	  2241.5	   -65.0	   0.000	   1.196	   956.9	    40.0	  441492	   51.40	   51.40	   -1.17	   -1.02	    0.00	  16.445	  16.432	  36.531	  36.370	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      38	 09:46:35	   0.005	   0.000	  408.32	  988.98	   14.98	  1897.9	    62.1	  -169.6	  -229.5	  2203.9	   -59.7	   0.000	   1.196	   956.8	    40.0	  441107	   59.10	   59.10	   -1.06	   -1.10	    0.00	  16.489	  16.466	  39.321	  38.053	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      39	 09:46:58	   0.005	   0.000	  408.25	  988.99	   15.01	  1866.3	    43.2	  -173.4	  -219.1	  2181.8	   -49.9	   0.000	   1.196	   956.6	    40.0	  441007	   66.88	   66.90	   -1.01	   -1.03	    0.00	  16.535	  16.521	  42.203	  39.658	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      40	 09:51:09	  -5.000	   0.000	  407.84	  989.01	   15.25	  2249.9	   165.0	 -1283.7	 -1399.8	  3001.7	  -132.2	   0.000	   1.195	   955.7	    40.0	  440324	   51.40	   51.40	   -0.92	   -0.98	    0.00	  16.990	  17.024	  39.206	  37.825	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      41	 09:52:29	   4.995	   0.000	  407.72	  988.98	   15.28	  2152.8	   -31.2	   763.1	   753.6	  2010.0	     3.0	   0.000	   1.194	   955.4	    40.0	  440191	   51.40	   51.40	   -0.88	   -0.95	    0.00	  16.986	  17.031	  38.843	  37.426	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 09:53:38	  10.000	   0.000	  407.85	  988.95	   15.24	  3179.8	  -111.2	  1298.0	  1324.2	  2287.7	    69.5	   0.000	   1.195	   955.7	    40.0	  440339	   51.40	   51.40	   -0.79	   -1.06	    0.00	  17.011	  17.056	  40.097	  37.462	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 09:54:11	  10.000	   0.000	  408.17	  988.92	   15.23	  3114.4	  -116.1	  1313.2	  1345.7	  2230.9	    68.7	   0.000	   1.195	   956.5	    40.0	  440523	   59.12	   59.11	   -0.60	   -1.07	    0.00	  17.007	  17.099	  43.606	  39.242	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 09:55:01	   5.005	   0.000	  407.87	  988.86	   15.24	  2112.1	   -28.9	   778.1	   765.3	  1974.2	     2.2	   0.000	   1.195	   955.7	    40.0	  440328	   59.10	   59.10	   -0.97	   -1.04	    0.00	  17.037	  17.146	  41.364	  39.034	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 09:55:52	  -5.000	   0.000	  407.68	  988.81	   15.32	  2211.5	   139.5	 -1291.8	 -1391.3	  2978.5	  -118.5	   0.000	   1.194	   955.3	    40.0	  440061	   59.10	   59.10	   -0.91	   -0.89	    0.00	  17.098	  17.192	  41.868	  39.513	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 09:56:22	  -5.000	   0.000	  407.66	  988.79	   15.39	  2134.8	   122.4	 -1291.8	 -1382.8	  2932.6	  -106.8	   0.000	   1.194	   955.2	    40.0	  439911	   66.90	   66.90	   -0.60	   -0.74	    0.00	  17.160	  17.234	  44.989	  41.515	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      47	 09:57:32	   4.995	   0.000	  407.65	  988.73	   15.40	  2082.8	   -29.4	   774.5	   767.7	  1953.7	    -0.1	   0.000	   1.194	   955.2	    40.0	  439869	   66.90	   66.90	   -1.03	   -1.12	    0.00	  17.259	  17.349	  43.917	  39.881	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 09:58:14	  10.000	   0.000	  407.51	  988.70	   15.37	  3004.3	  -136.8	  1326.3	  1372.1	  2142.8	    76.0	   0.000	   1.194	   954.9	    40.0	  439848	   66.90	   66.90	   -0.20	   -0.76	    0.00	  17.307	  17.373	  48.279	  41.289	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
