  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      25	  -5.000	   0.000	 -0.2282	0.071837	-0.00372	-0.16822	0.051676	 -0.2336	-0.003723	-0.00279	-0.10983	 0.00233	0.071837	0.003723	-0.228194	-0.00238	-0.12151	 0.00209	   18.17	    0.82	  -49.10	   -0.74	   -3.68	    0.65	  409.19	  989.40	   14.39	   1.199	   958.9	   40.00	3.441E+5	   0.118
      26	  -0.005	   0.000	  0.3077	0.071990	 0.00113	-0.20332	0.072015	  0.3077	0.001132	-0.00187	-0.28025	 0.00050	0.071990	-0.001132	0.307710	-0.00205	-0.29196	 0.00050	   17.89	   -0.25	   70.06	   -0.64	  -10.09	    0.15	  408.90	  989.40	   14.58	   1.198	   958.2	   40.00	3.437E+5	   0.118
      27	   5.000	   0.000	  0.8120	0.093635	 0.00481	-0.19310	0.022508	  0.8171	0.004807	-0.00136	-0.39737	-0.00105	0.093635	-0.004807	0.812032	-0.00223	-0.41261	-0.00094	   22.37	   -1.06	  182.42	   -0.69	  -14.67	   -0.29	  408.81	  989.40	   14.60	   1.198	   958.0	   39.99	3.436E+5	   0.118
      28	  10.000	   0.000	  1.1534	0.146938	 0.00608	-0.29095	-0.055570	  1.1614	0.006081	-0.00050	-0.58129	-0.00210	0.146938	-0.006081	1.153361	-0.00186	-0.60519	-0.00205	   33.95	   -1.35	  256.80	   -0.58	  -21.72	   -0.63	  408.61	  989.37	   14.66	   1.198	   957.5	   39.99	3.434E+5	   0.118
      29	  10.000	   0.000	  1.1573	0.144219	 0.00648	-0.29600	-0.058935	  1.1648	0.006479	-0.00045	-0.58719	-0.00205	0.144219	-0.006479	1.157315	-0.00186	-0.61065	-0.00200	   33.36	   -1.43	  257.79	   -0.58	  -21.93	   -0.62	  408.79	  989.35	   14.68	   1.197	   957.9	   40.00	3.434E+5	   0.118
      30	   5.005	   0.000	  0.8142	0.091985	 0.00426	-0.19258	0.020608	  0.8191	0.004255	-0.00160	-0.39736	-0.00093	0.091985	-0.004255	0.814196	-0.00237	-0.41232	-0.00079	   22.00	   -0.94	  182.82	   -0.73	  -14.65	   -0.25	  408.64	  989.31	   14.73	   1.197	   957.6	   40.00	3.433E+5	   0.118
      31	   0.000	   0.000	  0.3097	0.070202	 0.00153	-0.20292	0.070202	  0.3097	0.001528	-0.00200	-0.28033	 0.00036	0.070202	-0.001528	0.309655	-0.00225	-0.29175	 0.00036	   17.50	   -0.34	   70.50	   -0.70	  -10.08	    0.11	  408.93	  989.29	   14.75	   1.197	   958.3	   40.01	3.434E+5	   0.118
      32	  -5.000	   0.000	 -0.2309	0.070142	-0.00181	-0.16635	0.049748	 -0.2362	-0.001811	-0.00259	-0.10731	 0.00210	0.070142	0.001811	-0.230946	-0.00247	-0.11872	 0.00188	   17.77	    0.40	  -49.62	   -0.76	   -3.57	    0.58	  408.46	  989.25	   14.86	   1.197	   957.1	   40.00	3.430E+5	   0.118
      33	  -5.000	   0.000	 -0.2327	0.067358	-0.00143	-0.16534	0.046824	 -0.2377	-0.001425	-0.00252	-0.10592	 0.00191	0.067358	0.001425	-0.232673	-0.00245	-0.11688	 0.00170	   17.16	    0.32	  -50.03	   -0.76	   -3.51	    0.53	  408.69	  989.24	   14.94	   1.196	   957.7	   40.01	3.430E+5	   0.118
      34	  -0.005	   0.000	  0.3066	0.068895	 0.00167	-0.20138	0.068920	  0.3066	0.001666	-0.00183	-0.27802	 0.00025	0.068895	-0.001666	0.306591	-0.00210	-0.28923	 0.00025	   17.19	   -0.37	   69.73	   -0.65	   -9.98	    0.08	  408.43	  989.21	   14.98	   1.196	   957.1	   40.01	3.428E+5	   0.118
      35	   5.000	   0.000	  0.8117	0.090579	 0.00404	-0.19297	0.019491	  0.8165	0.004038	-0.00152	-0.39710	-0.00078	0.090579	-0.004038	0.811710	-0.00224	-0.41184	-0.00065	   21.66	   -0.89	  182.08	   -0.69	  -14.62	   -0.20	  408.20	  989.23	   14.96	   1.196	   956.5	   39.99	3.427E+5	   0.118
      36	  10.000	   0.000	  1.1613	0.139750	 0.00686	-0.30406	-0.064036	  1.1680	0.006862	-0.00047	-0.59605	-0.00206	0.139750	-0.006862	1.161347	-0.00195	-0.61879	-0.00201	   32.36	   -1.52	  258.57	   -0.60	  -22.21	   -0.62	  408.62	  989.24	   14.94	   1.196	   957.5	   40.01	3.430E+5	   0.118
