  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      37	   0.005	   0.000	  0.1320	0.072120	-0.00180	 0.30883	0.072109	  0.1320	-0.001798	-0.00266	 0.27583	 0.00135	0.072120	0.001798	0.131962	-0.00236	 0.26410	 0.00135	   17.90	    0.40	   31.12	   -0.73	   10.21	    0.42	  408.37	  988.98	   14.80	   1.196	   956.9	   39.99	3.430E+5	   0.118
      38	   0.005	   0.000	  0.1323	0.070304	-0.00129	 0.30697	0.070293	  0.1323	-0.001290	-0.00269	 0.27389	 0.00124	0.070304	0.001290	0.132305	-0.00248	 0.26246	 0.00124	   17.49	    0.29	   31.19	   -0.77	   10.14	    0.38	  408.32	  988.98	   14.98	   1.196	   956.8	   40.00	3.427E+5	   0.118
      39	   0.005	   0.000	  0.1317	0.069000	-0.00047	 0.30719	0.068989	  0.1317	-0.000474	-0.00242	 0.27426	 0.00103	0.069000	0.000474	0.131720	-0.00234	 0.26304	 0.00103	   17.20	    0.10	   31.06	   -0.72	   10.16	    0.32	  408.25	  988.99	   15.01	   1.196	   956.6	   40.00	3.426E+5	   0.118
      40	  -5.000	   0.000	 -0.4115	0.083747	-0.00471	 0.35684	0.047561	 -0.4173	-0.004707	-0.00356	 0.46116	 0.00306	0.083747	0.004707	-0.411549	-0.00305	 0.44753	 0.00276	   20.74	    1.04	  -89.41	   -0.94	   17.06	    0.85	  407.84	  989.01	   15.25	   1.195	   955.7	   40.00	3.421E+5	   0.117
      41	   4.995	   0.000	  0.6403	0.082368	 0.00197	 0.30604	0.026305	  0.6451	0.001970	-0.00183	 0.14478	-0.00024	0.082368	-0.001970	0.640315	-0.00217	 0.13138	-0.00008	   19.83	   -0.43	  144.03	   -0.67	    5.18	   -0.03	  407.72	  988.98	   15.28	   1.194	   955.4	   40.00	3.420E+5	   0.117
      42	  10.000	   0.000	  0.9831	0.126038	 0.00404	 0.22629	-0.046591	  0.9901	0.004038	-0.00088	-0.02123	-0.00162	0.126038	-0.004038	0.983113	-0.00181	-0.04173	-0.00149	   29.27	   -0.89	  218.73	   -0.56	   -1.15	   -0.46	  407.85	  988.95	   15.24	   1.195	   955.7	   40.00	3.421E+5	   0.117
      43	  10.000	   0.000	  0.9862	0.123209	 0.00444	 0.22367	-0.049911	  0.9926	0.004436	-0.00078	-0.02448	-0.00158	0.123209	-0.004436	0.986180	-0.00177	-0.04453	-0.00147	   28.67	   -0.98	  219.58	   -0.55	   -1.25	   -0.45	  408.17	  988.92	   15.23	   1.195	   956.5	   40.02	3.423E+5	   0.118
      44	   5.005	   0.000	  0.6435	0.080640	 0.00185	 0.30454	0.024195	  0.6481	0.001847	-0.00193	 0.14252	-0.00023	0.080640	-0.001847	0.643500	-0.00224	 0.12940	-0.00006	   19.45	   -0.41	  144.79	   -0.69	    5.11	   -0.02	  407.87	  988.86	   15.24	   1.195	   955.7	   40.00	3.421E+5	   0.118
      45	  -5.000	   0.000	 -0.4142	0.082181	-0.00363	 0.35807	0.045770	 -0.4198	-0.003633	-0.00335	 0.46301	 0.00276	0.082181	0.003633	-0.414176	-0.00299	 0.44964	 0.00248	   20.39	    0.80	  -89.96	   -0.92	   17.13	    0.77	  407.68	  988.81	   15.32	   1.194	   955.3	   40.00	3.419E+5	   0.117
      46	  -5.000	   0.000	 -0.4170	0.078987	-0.00305	 0.36102	0.042346	 -0.4223	-0.003050	-0.00327	 0.46658	 0.00251	0.078987	0.003050	-0.416954	-0.00298	 0.45373	 0.00223	   19.68	    0.67	  -90.56	   -0.92	   17.28	    0.69	  407.66	  988.79	   15.39	   1.194	   955.2	   40.00	3.418E+5	   0.117
      47	   4.995	   0.000	  0.6412	0.079468	 0.00201	 0.30430	0.023338	  0.6457	0.002009	-0.00171	 0.14287	-0.00017	0.079468	-0.002009	0.641211	-0.00205	 0.12994	-0.00002	   19.18	   -0.44	  144.21	   -0.63	    5.13	   -0.01	  407.65	  988.73	   15.40	   1.194	   955.2	   40.01	3.418E+5	   0.117
      48	  10.000	   0.000	  0.9890	0.118831	 0.00554	 0.22132	-0.054713	  0.9946	0.005537	-0.00069	-0.02734	-0.00172	0.118831	-0.005537	0.989010	-0.00189	-0.04667	-0.00163	   27.65	   -1.22	  219.85	   -0.58	   -1.33	   -0.50	  407.51	  988.70	   15.37	   1.194	   954.9	   40.00	3.417E+5	   0.117
