  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      25	 09:28:33	  -5.000	   0.000	  409.19	  989.40	   14.39	  1970.9	   127.2	  -603.4	  -697.3	  1190.5	  -100.1	   0.000	   1.199	   958.9	    40.0	  442825	   51.40	   51.40	   -1.16	   -1.08	    0.00	  15.350	  15.345	  35.097	  34.807	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 09:29:27	  -0.005	   0.000	  408.90	  989.40	   14.58	  1941.5	     1.6	   434.3	   413.5	   672.8	   -24.3	   0.000	   1.198	   958.2	    40.0	  442314	   51.40	   51.40	   -1.04	   -1.02	    0.00	  15.513	  15.495	  34.712	  34.445	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 09:30:06	   5.000	   0.000	  408.81	  989.40	   14.60	  2429.8	  -101.8	  1323.7	  1350.4	   682.9	    43.8	   0.000	   1.198	   958.0	    40.0	  442207	   51.40	   51.40	   -1.16	   -1.18	    0.00	  15.646	  15.621	  34.687	  34.457	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 09:31:07	  10.000	   0.000	  408.61	  989.37	   14.66	  3688.4	  -160.1	  1837.8	  1889.4	  1078.2	    96.3	   0.000	   1.198	   957.5	    40.0	  441982	   51.40	   51.40	   -0.80	   -1.11	    0.00	  15.816	  15.807	  35.915	  34.652	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 09:31:38	  10.000	   0.000	  408.79	  989.35	   14.68	  3624.7	  -164.1	  1855.8	  1913.1	  1014.4	    94.4	   0.000	   1.197	   957.9	    40.0	  442037	   59.11	   59.10	   -0.56	   -1.12	    0.00	  15.881	  15.914	  39.282	  36.849	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 09:32:19	   5.005	   0.000	  408.64	  989.31	   14.73	  2389.0	   -88.9	  1338.1	  1354.2	   653.8	    37.0	   0.000	   1.197	   957.6	    40.0	  441851	   59.10	   59.10	   -1.22	   -1.07	    0.00	  15.966	  16.028	  37.236	  36.626	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 09:32:46	   0.000	   0.000	  408.93	  989.29	   14.75	  1898.6	    -8.9	   443.2	   424.3	   641.3	   -17.8	   0.000	   1.197	   958.3	    40.0	  441971	   59.10	   59.10	   -1.15	   -1.13	    0.00	  16.040	  16.094	  37.241	  36.589	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      32	 09:33:26	  -5.000	   0.000	  408.46	  989.25	   14.86	  1926.6	    92.7	  -615.7	  -683.5	  1165.8	   -89.9	   0.000	   1.197	   957.1	    40.0	  441475	   59.10	   59.10	   -1.05	   -1.01	    0.00	  16.172	  16.216	  37.554	  36.939	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      33	 09:33:56	  -5.000	   0.000	  408.69	  989.24	   14.94	  1860.8	    80.8	  -613.1	  -675.2	  1121.7	   -81.3	   0.000	   1.196	   957.7	    40.0	  441446	   66.90	   66.90	   -0.79	   -0.95	    0.00	  16.267	  16.310	  40.670	  38.755	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 09:34:31	  -0.005	   0.000	  408.43	  989.21	   14.98	  1864.8	   -15.0	   438.0	   423.9	   624.1	   -12.4	   0.000	   1.196	   957.1	    40.0	  441219	   66.90	   66.90	   -0.96	   -1.35	    0.00	  16.373	  16.433	  39.930	  37.786	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 09:35:16	   5.000	   0.000	  408.20	  989.23	   14.96	  2352.7	   -80.5	  1337.3	  1352.7	   629.2	    30.1	   0.000	   1.196	   956.5	    40.0	  441130	   66.90	   66.90	   -0.95	   -1.16	    0.00	  16.475	  16.534	  40.027	  37.708	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      36	 09:35:59	  10.000	   0.000	  408.62	  989.24	   14.94	  3515.6	  -169.6	  1881.1	  1942.0	   910.8	    94.7	   0.000	   1.196	   957.5	    40.0	  441406	   66.89	   66.90	    0.14	   -0.82	    0.00	  16.545	  16.599	  43.905	  38.981	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
