  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -4.995	   0.000	 -0.3096	0.074277	-0.00557	 0.09082	0.047039	 -0.3149	-0.005569	-0.00072	 0.16953	 0.00261	0.074277	0.005569	-0.309565	-0.00004	 0.15745	 0.00256	   18.73	    1.23	  -67.18	   -0.01	    6.52	    0.79	  409.55	  990.31	   14.12	   1.201	   959.7	   39.98	3.448E+5	   0.118
       2	  -0.005	   0.000	  0.2282	0.068855	-0.00004	 0.04863	0.068873	  0.2282	-0.000042	 0.00032	-0.00842	 0.00081	0.068855	0.000042	0.228186	 0.00032	-0.01962	 0.00081	   17.21	    0.01	   52.49	    0.10	   -0.14	    0.25	  409.18	  990.29	   14.23	   1.200	   958.8	   39.97	3.445E+5	   0.118
       3	   5.000	   0.000	  0.7325	0.084765	 0.00333	 0.06178	0.020605	  0.7371	0.003328	 0.00077	-0.12249	-0.00055	0.084765	-0.003328	0.732469	 0.00018	-0.13628	-0.00062	   20.48	   -0.74	  165.40	    0.06	   -4.60	   -0.19	  410.24	  990.24	   14.36	   1.200	   961.3	   40.03	3.447E+5	   0.118
       4	  10.000	   0.000	  1.0694	0.133352	 0.00503	-0.02268	-0.054373	  1.0763	0.005030	 0.00116	-0.29176	-0.00178	0.133352	-0.005030	1.069411	 0.00000	-0.31346	-0.00201	   31.03	   -1.12	  238.88	    0.00	  -11.10	   -0.63	  409.72	  990.18	   14.40	   1.200	   960.1	   40.01	3.444E+5	   0.118
       5	  10.000	   0.000	  1.0732	0.130671	 0.00525	-0.02582	-0.057675	  1.0796	0.005252	 0.00117	-0.29573	-0.00172	0.130671	-0.005252	1.073223	-0.00001	-0.31699	-0.00195	   30.44	   -1.16	  239.76	   -0.00	  -11.23	   -0.61	  409.78	  990.16	   14.44	   1.199	   960.3	   40.01	3.444E+5	   0.118
       6	   5.005	   0.000	  0.7351	0.083076	 0.00313	 0.06102	0.018633	  0.7395	0.003132	 0.00062	-0.12386	-0.00050	0.083076	-0.003132	0.735089	 0.00006	-0.13738	-0.00056	   20.05	   -0.69	  165.53	    0.02	   -4.62	   -0.17	  409.15	  990.16	   14.54	   1.199	   958.8	   39.99	3.440E+5	   0.118
       7	   0.000	   0.000	  0.2306	0.067026	 0.00021	 0.04803	0.067026	  0.2306	0.000211	 0.00019	-0.00962	 0.00066	0.067026	-0.000211	0.230597	 0.00016	-0.02053	 0.00066	   16.80	   -0.05	   53.01	    0.05	   -0.18	    0.21	  409.07	  990.15	   14.65	   1.199	   958.6	   40.00	3.438E+5	   0.118
       8	  -5.000	   0.000	 -0.3135	0.072547	-0.00269	 0.09194	0.044953	 -0.3186	-0.002689	-0.00048	 0.17159	 0.00234	0.072547	0.002689	-0.313460	-0.00024	 0.15979	 0.00231	   18.31	    0.59	  -67.90	   -0.08	    6.59	    0.72	  408.70	  990.15	   14.78	   1.198	   957.7	   39.99	3.434E+5	   0.118
       9	  -5.000	   0.000	 -0.3149	0.069678	-0.00405	 0.09266	0.041968	 -0.3198	-0.004048	-0.00060	 0.17261	 0.00209	0.069678	0.004048	-0.314912	-0.00013	 0.16127	 0.00204	   17.68	    0.90	  -68.25	   -0.04	    6.65	    0.63	  408.89	  990.17	   14.82	   1.198	   958.2	   40.00	3.434E+5	   0.118
      10	  -0.005	   0.000	  0.2270	0.065749	 0.00090	 0.04823	0.065767	  0.2270	0.000896	 0.00047	-0.00851	 0.00047	0.065749	-0.000896	0.226990	 0.00032	-0.01921	 0.00047	   16.51	   -0.20	   52.19	    0.10	   -0.13	    0.15	  408.86	  990.14	   14.86	   1.198	   958.1	   40.00	3.433E+5	   0.118
      11	   5.000	   0.000	  0.7328	0.081850	 0.00304	 0.06089	0.017674	  0.7371	0.003035	 0.00074	-0.12339	-0.00042	0.081850	-0.003035	0.732778	 0.00020	-0.13671	-0.00049	   19.76	   -0.67	  164.88	    0.06	   -4.60	   -0.15	  408.79	  990.10	   14.86	   1.198	   957.9	   40.00	3.433E+5	   0.118
      12	  10.000	   0.000	  1.0774	0.126281	 0.00612	-0.03115	-0.062730	  1.0830	0.006119	 0.00116	-0.30190	-0.00180	0.126281	-0.006119	1.077430	-0.00018	-0.32245	-0.00204	   29.41	   -1.36	  240.28	   -0.06	  -11.41	   -0.63	  409.09	  990.02	   14.82	   1.198	   958.6	   40.01	3.435E+5	   0.118
      13	  10.000	   0.000	  1.1060	0.138608	 0.00549	 0.24367	-0.055558	  1.1133	0.005495	 0.00066	-0.03465	-0.00203	0.138608	-0.005495	1.106043	-0.00061	-0.05721	-0.00218	    8.04	   -0.30	   61.71	   -0.05	   -0.43	   -0.17	  102.81	  989.98	   14.36	   1.200	   239.9	   20.00	1.722E+5	   0.059
      14	   5.005	   0.000	  0.7566	0.092398	 0.00733	 0.14333	0.026042	  0.7618	0.007331	 0.00044	-0.04711	-0.00162	0.092398	-0.007331	0.756597	-0.00090	-0.06214	-0.00167	    5.54	   -0.41	   42.65	   -0.07	   -0.47	   -0.13	  102.92	  989.95	   14.30	   1.200	   240.1	   20.01	1.723E+5	   0.059
      15	   0.000	   0.000	  0.2500	0.075631	 0.00594	 0.04841	0.075630	  0.2500	0.005937	-0.00022	-0.01409	 0.00069	0.075631	-0.005937	0.249991	-0.00119	-0.02639	 0.00069	    4.68	   -0.33	   14.34	   -0.09	   -0.10	    0.05	  102.85	  989.92	   14.28	   1.200	   239.9	   20.00	1.722E+5	   0.059
      16	  -5.000	   0.000	 -0.2763	0.082104	 0.00193	 0.11514	0.057712	 -0.2824	0.001930	-0.00084	 0.18574	 0.00283	0.082104	-0.001930	-0.276294	-0.00140	 0.17238	 0.00277	    5.11	   -0.11	  -14.94	   -0.11	    1.77	    0.21	  102.79	  989.88	   14.28	   1.200	   239.8	   19.99	1.722E+5	   0.059
      17	  -5.000	   0.000	 -0.2755	0.080692	 0.00300	 0.11270	0.056371	 -0.2815	0.002999	-0.00055	 0.18308	 0.00232	0.080692	-0.002999	-0.275542	-0.00124	 0.16996	 0.00228	    5.04	   -0.17	  -14.90	   -0.10	    1.74	    0.18	  102.81	  989.85	   14.28	   1.200	   239.8	   20.00	1.722E+5	   0.059
